52°05′44″N,52.0956577,5°07′08″E,5.11890655,0.277,3.996°
52°04′33″N,52.07594862,5°07′03″E,5.11749866,1.9173,182.3°
52°06′10″N,52.10269177,5°07′58″E,5.13271727,1.4312,42.282°
52°05′36″N,52.09321301,5°05′29″E,5.09132294,1.8656,270.147°
52°05′34″N,52.09291109,5°08′26″E,5.14047696,1.4936,91.109°
52°06′10″N,52.10290696,5°05′44″E,5.09568447,1.905,304.644°
52°04′37″N,52.07689873,5°06′31″E,5.10871552,1.9327,200.516°
52°05′19″N,52.08865629,5°05′27″E,5.09086963,1.9621,255.176°
52°04′37″N,52.07705695,5°07′02″E,5.11711533,1.7955,183.293°
52°05′18″N,52.08845948,5°07′25″E,5.1235701,0.6238,147.187°
52°05′26″N,52.09043859,5°07′32″E,5.12549395,0.5594,122.934°
52°06′04″N,52.10103741,5°06′51″E,5.11417183,0.9261,340.825°
52°06′09″N,52.10249617,5°05′38″E,5.09382529,1.9866,301.476°
52°05′16″N,52.08789631,5°05′58″E,5.09942797,1.4371,245.904°
52°05′44″N,52.09554606,5°06′54″E,5.11513794,0.3555,317.935°
52°05′46″N,52.09617856,5°07′08″E,5.11883571,0.3346,2.478°
52°05′48″N,52.0965369,5°08′14″E,5.13724116,1.326,73.604°
52°05′36″N,52.09339226,5°06′04″E,5.10098529,1.2056,271.166°
52°06′14″N,52.10382734,5°08′05″E,5.13465116,1.6135,42.734°
52°04′59″N,52.08298758,5°07′14″E,5.12059295,1.1409,173.225°
52°05′41″N,52.09471862,5°05′49″E,5.096994,1.488,276.643°
52°06′17″N,52.10470003,5°07′01″E,5.11706187,1.2865,355.242°
52°05′00″N,52.08326857,5°06′33″E,5.10926343,1.2739,210.148°
52°06′29″N,52.10804971,5°06′19″E,5.10532282,1.8878,331.229°
52°04′32″N,52.07551768,5°07′13″E,5.12036476,1.9673,176.532°
52°05′01″N,52.08363746,5°07′17″E,5.12127943,1.076,170.289°
52°06′24″N,52.10670586,5°07′30″E,5.12505103,1.568,16.261°
52°04′43″N,52.07853762,5°06′45″E,5.11247877,1.6811,194.47°
52°05′05″N,52.08479242,5°07′05″E,5.11813984,0.9327,182.033°
52°04′57″N,52.08247439,5°07′36″E,5.12665686,1.3105,155.231°
52°05′53″N,52.09813074,5°08′20″E,5.13891393,1.4921,68.303°
52°05′40″N,52.09435978,5°06′31″E,5.10859001,0.6983,280.901°
52°05′51″N,52.09753541,5°05′30″E,5.09166149,1.9052,284.765°
52°05′57″N,52.09913488,5°05′50″E,5.09710457,1.613,294.282°
52°05′51″N,52.09747552,5°07′23″E,5.12293932,0.5621,31.639°
52°05′53″N,52.09813014,5°08′27″E,5.14088748,1.6181,70.069°
52°04′49″N,52.08023011,5°06′11″E,5.10313763,1.7868,216.33°
52°05′26″N,52.09059304,5°06′42″E,5.11158905,0.5599,239.17°
52°05′32″N,52.09235433,5°08′18″E,5.13831793,1.3489,93.863°
52°04′41″N,52.07806415,5°06′54″E,5.11493498,1.6993,188.534°
52°06′01″N,52.10016086,5°05′43″E,5.09540919,1.7664,296.113°
52°05′02″N,52.08394496,5°07′37″E,5.12702502,1.1761,150.775°
52°06′33″N,52.10907725,5°06′42″E,5.11162403,1.8325,344.874°
52°05′52″N,52.09766725,5°07′16″E,5.1211879,0.5297,19.313°
52°05′31″N,52.09206405,5°05′56″E,5.09880872,1.3597,264.803°
52°05′25″N,52.09025155,5°08′10″E,5.13606665,1.2355,105.242°
52°05′43″N,52.09539537,5°06′35″E,5.10972056,0.6567,292.115°
52°04′38″N,52.07727453,5°06′45″E,5.11257216,1.8161,193.168°
52°06′00″N,52.09998801,5°07′49″E,5.13030044,1.1005,46.462°
52°05′01″N,52.08356715,5°05′55″E,5.09858714,1.7369,232.045°
52°06′25″N,52.10705263,5°06′43″E,5.11203378,1.6081,343.742°
52°05′27″N,52.09071054,5°06′13″E,5.10357643,1.0642,255.091°
52°06′21″N,52.1058106,5°08′06″E,5.1348635,1.7908,38.28°
52°05′37″N,52.09369594,5°07′12″E,5.12000497,0.1109,58.352°
52°06′09″N,52.10256472,5°06′20″E,5.10550955,1.3763,319.382°
52°05′18″N,52.08843758,5°06′11″E,5.10306784,1.1864,243.65°
52°05′55″N,52.09851399,5°05′41″E,5.09466134,1.7418,289.951°
52°04′42″N,52.07831959,5°06′13″E,5.1037421,1.9401,211.625°
52°06′00″N,52.09992877,5°07′26″E,5.12391914,0.834,25.709°
52°06′28″N,52.10780386,5°07′12″E,5.12010019,1.6305,3.546°
52°05′47″N,52.09649211,5°07′30″E,5.12512612,0.5777,50.274°
52°05′09″N,52.0858807,5°06′23″E,5.10641277,1.1637,225.82°
52°06′16″N,52.10437086,5°06′42″E,5.11160327,1.3347,338.939°
52°05′21″N,52.08906179,5°05′34″E,5.09282243,1.8216,255.471°
52°06′21″N,52.10593528,5°06′37″E,5.11033891,1.5282,338.262°
52°05′23″N,52.08973192,5°06′49″E,5.11362598,0.513,221.748°
52°05′29″N,52.0914405,5°07′29″E,5.12481353,0.4648,114.491°
52°05′14″N,52.08710631,5°05′43″E,5.09533205,1.7289,247.036°
52°05′19″N,52.08865593,5°07′03″E,5.11761005,0.5072,187.853°
52°05′30″N,52.09168565,5°07′11″E,5.11966892,0.1802,156.653°
52°05′51″N,52.09753923,5°06′40″E,5.11100416,0.712,313.009°
52°04′47″N,52.07976212,5°06′02″E,5.10044587,1.9413,219.798°
52°05′49″N,52.09702189,5°08′19″E,5.13870301,1.4373,72.663°
52°05′01″N,52.08374505,5°07′25″E,5.1237353,1.1053,161.574°
52°05′29″N,52.09135556,5°06′34″E,5.10952229,0.654,251.999°
52°05′39″N,52.09426558,5°08′32″E,5.14216816,1.6135,85.671°
52°05′05″N,52.08479115,5°07′06″E,5.11827,0.9326,181.487°
52°05′02″N,52.08394515,5°07′23″E,5.12317098,1.0724,163.154°
52°06′05″N,52.10138599,5°08′25″E,5.14033978,1.7425,58.373°
52°05′12″N,52.08677193,5°08′23″E,5.13974123,1.6092,116.251°
52°05′37″N,52.09364824,5°06′01″E,5.10028242,1.2545,272.422°
52°04′49″N,52.08040861,5°07′03″E,5.11739054,1.4222,183.399°
52°06′08″N,52.10227837,5°07′06″E,5.11823014,1.0131,358.478°
52°05′36″N,52.09324579,5°08′16″E,5.13776268,1.3079,89.638°
52°06′29″N,52.10798816,5°07′16″E,5.12121509,1.6573,6.131°
52°04′57″N,52.08258199,5°06′52″E,5.11456534,1.2102,193.252°
52°06′24″N,52.10675867,5°07′08″E,5.11901592,1.5113,1.015°
52°04′34″N,52.07608569,5°07′09″E,5.11924083,1.901,178.729°
52°06′07″N,52.10201246,5°06′03″E,5.10079477,1.5655,308.912°
52°06′02″N,52.10055445,5°08′37″E,5.14364257,1.8964,64.337°
52°05′20″N,52.08902166,5°07′38″E,5.12720234,0.7462,128.222°
52°06′01″N,52.10034326,5°07′28″E,5.12438949,0.8895,26.286°
52°05′06″N,52.08498711,5°07′46″E,5.12947688,1.1744,140.829°
52°05′53″N,52.09796916,5°07′41″E,5.12798003,0.8326,50.154°
52°04′52″N,52.08108707,5°07′17″E,5.12149473,1.3585,171.695°
52°06′21″N,52.10594673,5°06′24″E,5.10656706,1.6423,329.899°
52°05′22″N,52.08955065,5°07′26″E,5.12379048,0.5357,138.77°
52°05′08″N,52.08554878,5°07′06″E,5.11820406,0.8485,181.938°
52°05′34″N,52.09275317,5°05′36″E,5.09333231,1.7289,268.462°
52°05′48″N,52.09677086,5°06′40″E,5.11110317,0.6513,307.91°
52°06′06″N,52.1017519,5°07′24″E,5.12327717,1.0058,18.427°
